,M2: Simple Lagged Network (t-4Q),ed51da28,8e338c55,b4f04079,d0eeaec1,d8167c3f,509da603,d8eb9a06,9668b710,8c228f20,afa1a440,0bc1cd9e,b8126291,e325f6da,3ec3edb4,0e9036a0,62a8c42c,6127fc17,859ec2e6,fd3d2e4f,58d7f342,d6a6eef0,9d33896b,a9458246,f5606bc4,f2b88962,16573b01,9ebe2308,d340bd76,7487246f,493f8a87,5a51f1df,c2b91e3e,ef728c27,27afcd0a,901d777e,ea5bd35b,b750c9f6,b1881eb1,42fa3a2a,e1dd2140,aa69de9a,74319d87,4aa3e0fb,961d2a2a,b285fe60,70d321ab,8f58c61b,a0784592,66ec6e98,99d42954,f5be755c,df1f72b3,5eb1fd0a,9cb4bde4,c06f0561,e305ef99,37ad6039,d821b000,c8644807,83b4f56b,9cc3e015,e6f7673a,0845ec31,bbd28ff0,25273f10,aab61722,ef50a354,bd2d9c9d,e79f870c,57403f97,d0740966,a205a28a,7d4a7224,7728d06c,902c31ba,acbd1322,4765e13a,d31bfc7f,5a0c0f29,M1: Temporal FCR (Scaled),M2: + Bank Controls,M4: Full Model + Ownership,M3: + Network Controls,M1: Temporal FCR (Scaled),M1: Baseline (FCR Only),M5: Full + Stratified,a101fa1a,f3e49b22,152f5e46,M6: EPU Interactions (Crisis Adaptation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M6: EPU Interactions (Crisis Adaptation),M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M4: Full Mechanism Horse Race,M4: Full Mechanism Horse Race,M1: Political Embeddedness (Regional Strata),M5: Mechanism Horse Race + EPU Control,M4: Full Mechanism Horse Race,EPU Interactions (Full),M3: Internal Capital (Group Assets),EPU Interactions (Full),M3: Internal Capital (Group Assets),M2: Tax Optimization (Stake Fragmentation),M1: Political Embeddedness (Regional Strata),M1: Political Embeddedness (Regional Strata),M2: Tax Optimization (Stake Fragmentation),Sector Stratification,M10: H3++ Deep Structural Proxies,M2: Tax Optimization (Stake Fragmentation),M5: Mechanism Horse Race + EPU Control,M2: Tax Optimization (Stake Fragmentation),M3: Internal Capital (Group Assets),M1: Political Embeddedness (Regional Strata),M3: Internal Capital (Group Assets),M3: Internal Capital (Group Assets),Sector Stratification,M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,H3+ Enhanced (Capital & Diversification),M5: Mechanism Horse Race + EPU Control,H3+ Enhanced (Capital & Diversification),M9: Full Mechanism + Community Stratification,M3: Internal Capital (Group Assets),M4: Full Mechanism Horse Race,M6: EPU Interactions (Crisis Adaptation),M3: Internal Capital (Group Assets),H3+ Enhanced (Capital & Diversification),M2: Tax Optimization (Stake Fragmentation),M2: Tax Optimization (Stake Fragmentation)
rw_page_rank_4q_lag,1.003 (0.005),1.003 (0.005),1.003 (0.005),,,,,,,,,,,,,,,,,,,,,1.004 (0.005),1.004 (0.005),1.004 (0.005),1.004 (0.005),1.004 (0.005),1.004 (0.005),,,,,,,,,,,,,1.002 (0.005),,1.002 (0.005),,,,,,,1.002 (0.006),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005),1.003 (0.005),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.002 (0.006),1.003 (0.005),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.002 (0.006),1.003 (0.005),1.003 (0.005),,,,,,,1.031*** (0.003),,1.031*** (0.003),1.031*** (0.003),1.031*** (0.003),,1.031*** (0.003),1.040*** (0.003),0.000*** (0.000),,,,,,,1.032 (0.020),,,,,,,,,,,,1.032 (0.020),,,,,,,,,,1.029 (0.020),,1.029 (0.020),,,,,,,,,,,,,,,,,1.032 (0.020),,,,,1.032 (0.020),,1.032 (0.020),1.022 (0.020),,,,,1.032 (0.020),,
rw_out_degree_4q_lag,0.978* (0.011),0.978* (0.011),0.978* (0.011),,,,,,,,,,,,,,,,,,,,,0.979* (0.009),0.979* (0.009),0.979* (0.009),0.979* (0.009),0.979* (0.009),0.979* (0.009),,,,,,,,,,,,,0.977* (0.011),,0.977* (0.011),,,,,,,0.981* (0.009),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008),0.982* (0.008),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.981* (0.009),0.982* (0.008),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.981* (0.009),0.982* (0.008),0.982* (0.008),,,,,,,0.937*** (0.015),,0.937*** (0.015),0.936*** (0.015),0.937*** (0.015),,0.932*** (0.015),0.942** (0.022),1.047*** (0.004),,0.956+ (0.023),0.957+ (0.023),0.955* (0.022),0.954* (0.022),0.958+ (0.023),0.955+ (0.023),0.954* (0.022),0.955* (0.022),0.954* (0.022),0.925*,0.954* (0.022),0.956+ (0.023),0.955* (0.022),0.957+ (0.023),0.955* (0.022),0.956*,0.957+ (0.023),0.955+ (0.023),0.958+ (0.023),0.954**,0.958*,0.954* (0.022),0.958+ (0.023),0.958+ (0.023),0.954* (0.022),0.957*,0.958+ (0.023),0.955+ (0.023),0.957+ (0.023),0.955+ (0.023),0.924*,0.921**,0.918**,0.954* (0.022),0.955* (0.022),,0.959+ (0.023),0.921**,0.925*,0.955* (0.022),0.957+ (0.023),0.918**,0.924*,0.957+ (0.023),,0.958+ (0.023),0.955+ (0.023),0.957+ (0.023),0.956+ (0.023),0.957+ (0.023),0.925*,0.955+ (0.023),0.957+ (0.023),0.955+ (0.023),0.962 (0.023),0.957+ (0.023),0.958+ (0.023),0.923**,0.957*,0.955+ (0.023),0.955* (0.022),0.955**
camel_roa,0.911*** (0.010),0.911*** (0.010),0.911*** (0.010),0.863*** (0.035),0.904*** (0.011),0.904*** (0.011),0.904*** (0.011),0.863*** (0.035),0.892*** (0.011),0.903*** (0.011),0.903*** (0.011),0.903*** (0.011),0.902*** (0.011),0.904*** (0.011),0.903*** (0.011),0.904*** (0.011),0.902*** (0.011),0.892*** (0.011),0.902*** (0.011),0.903*** (0.011),0.904*** (0.011),0.892*** (0.011),0.903*** (0.011),0.917*** (0.010),0.918*** (0.010),0.917*** (0.010),0.917*** (0.010),0.917*** (0.010),0.917*** (0.010),0.600*** (0.034),0.603*** (0.033),0.604*** (0.034),0.597*** (0.033),0.605*** (0.034),0.600*** (0.034),0.552*** (0.064),0.532*** (0.060),0.548*** (0.071),0.533*** (0.060),0.558*** (0.065),0.547*** (0.062),0.910*** (0.010),0.907*** (0.010),0.910*** (0.010),0.635*** (0.038),0.635*** (0.038),0.635*** (0.038),0.633*** (0.039),0.631*** (0.039),0.638*** (0.038),0.913*** (0.010),0.918*** (0.010),0.913*** (0.010),0.918*** (0.010),0.913*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010),0.913*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010),0.918*** (0.010),0.918*** (0.010),0.912*** (0.010),0.918*** (0.010),0.912*** (0.010),0.918*** (0.010),0.913*** (0.010),0.912*** (0.010),0.912*** (0.010),0.913*** (0.010),0.918*** (0.010),0.918*** (0.010),0.549*** (0.061),0.552*** (0.057),0.549*** (0.060),0.546*** (0.056),0.545*** (0.059),0.545*** (0.059),0.926*** (0.011),0.933*** (0.010),0.926*** (0.011),0.930*** (0.010),0.926*** (0.011),,0.926*** (0.011),,,,0.941*** (0.008),0.940*** (0.008),0.940*** (0.008),0.939*** (0.008),0.940*** (0.008),0.940*** (0.008),0.939*** (0.008),0.940*** (0.008),0.939*** (0.008),0.886***,0.939*** (0.008),0.941*** (0.008),0.940*** (0.008),0.940*** (0.008),0.940*** (0.008),0.941***,0.940*** (0.008),0.940*** (0.008),0.940*** (0.008),0.939***,0.940***,0.939*** (0.008),0.940*** (0.008),0.940*** (0.008),0.939*** (0.008),0.940***,0.940*** (0.008),0.940*** (0.008),0.940*** (0.008),0.940*** (0.008),0.888***,0.886***,0.887***,0.939*** (0.008),0.940*** (0.008),0.939*** (0.008),0.940*** (0.008),0.886***,0.887***,0.940*** (0.008),0.940*** (0.008),0.887***,0.888***,0.940*** (0.008),0.939*** (0.008),0.940*** (0.008),0.940*** (0.008),0.940*** (0.008),0.941*** (0.008),0.940*** (0.008),0.886***,0.940*** (0.008),0.940*** (0.008),0.940*** (0.008),0.943*** (0.009),0.940*** (0.008),0.940*** (0.008),0.887***,0.940***,0.940*** (0.008),0.940*** (0.008),0.940***
camel_npl_ratio,1.004* (0.002),1.004* (0.002),1.004* (0.002),1.007+ (0.004),1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),1.007+ (0.004),,1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),,1.009*** (0.002),1.009*** (0.002),1.009*** (0.002),,1.009*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.018*** (0.002),1.019*** (0.002),1.018*** (0.002),1.019*** (0.002),1.018*** (0.002),1.018*** (0.002),1.021*** (0.002),1.022*** (0.002),1.022*** (0.002),1.023*** (0.002),1.020*** (0.002),1.022*** (0.002),1.004* (0.002),1.004* (0.002),1.004* (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.012*** (0.002),1.011*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.010*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.006*** (0.002),1.010*** (0.002),1.010*** (0.002),1.021*** (0.002),1.021*** (0.002),1.021*** (0.002),1.022*** (0.002),1.021*** (0.002),1.021*** (0.002),1.024*** (0.002),1.024*** (0.002),1.024*** (0.002),1.024*** (0.002),1.024*** (0.002),,1.025*** (0.002),,,,1.112*** (0.020),1.111*** (0.020),1.114*** (0.020),1.119*** (0.020),1.112*** (0.020),1.112*** (0.020),1.119*** (0.020),1.114*** (0.020),1.119*** (0.020),1.065**,1.119*** (0.020),1.112*** (0.020),1.114*** (0.020),1.116*** (0.020),1.114*** (0.020),1.112***,1.116*** (0.020),1.112*** (0.020),1.112*** (0.020),1.119***,1.112***,1.119*** (0.020),1.112*** (0.020),1.112*** (0.020),1.119*** (0.020),1.111***,1.112*** (0.020),1.112*** (0.020),1.116*** (0.020),1.112*** (0.020),1.068**,1.066**,1.072**,1.119*** (0.020),1.114*** (0.020),,1.111*** (0.020),1.066**,1.065**,1.114*** (0.020),1.116*** (0.020),1.072**,1.068**,1.116*** (0.020),,1.112*** (0.020),1.112*** (0.020),1.111*** (0.020),1.112*** (0.020),1.116*** (0.020),1.065**,1.112*** (0.020),1.111*** (0.020),1.112*** (0.020),1.110*** (0.020),1.116*** (0.020),1.112*** (0.020),1.065**,1.116***,1.112*** (0.020),1.114*** (0.020),1.114***
camel_tier1_capital_ratio,1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.037** (0.013),1.019*** (0.005),1.018*** (0.005),1.019*** (0.005),1.037** (0.013),,1.020*** (0.005),1.020*** (0.005),1.020*** (0.005),1.016** (0.005),1.019*** (0.005),1.020*** (0.005),1.019*** (0.005),1.016** (0.005),,1.016** (0.005),1.020*** (0.005),1.019*** (0.005),,1.020*** (0.005),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),5.606*** (2.610),8.780*** (3.884),5.713*** (2.658),6.888*** (3.153),6.201*** (2.871),5.606*** (2.610),7.803*** (3.699),3.841* (2.028),7.018*** (3.393),3.984** (2.095),6.889*** (3.261),7.607*** (3.606),1.017*** (0.004),,1.017*** (0.004),3.182*** (1.003),3.159*** (0.996),3.134*** (0.988),2.744** (0.863),2.809** (0.882),3.127*** (0.987),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.016*** (0.003),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.015*** (0.004),1.016*** (0.003),1.016*** (0.003),5.905** (3.192),6.331*** (3.354),9.358*** (4.632),7.125*** (3.730),5.789** (3.133),5.789** (3.133),1.042*** (0.004),1.045*** (0.003),1.042*** (0.004),1.042*** (0.004),1.042*** (0.004),,1.042*** (0.004),,,,1.107*** (0.023),1.107*** (0.023),1.108*** (0.023),1.108*** (0.023),1.106*** (0.023),1.106*** (0.023),1.108*** (0.023),1.108*** (0.023),1.108*** (0.023),1.124***,1.108*** (0.023),1.107*** (0.023),1.108*** (0.023),1.106*** (0.023),1.108*** (0.023),1.107***,1.106*** (0.023),1.106*** (0.023),1.106*** (0.023),1.108***,1.106***,1.108*** (0.023),1.106*** (0.023),1.106*** (0.023),1.108*** (0.023),1.107***,1.106*** (0.023),1.106*** (0.023),1.106*** (0.023),1.106*** (0.023),1.128***,1.129***,1.134***,1.108*** (0.023),1.108*** (0.023),,1.106*** (0.023),1.129***,1.126***,1.108*** (0.023),1.106*** (0.023),1.134***,1.128***,1.106*** (0.023),,1.106*** (0.023),1.106*** (0.023),1.107*** (0.023),1.107*** (0.023),1.106*** (0.023),1.124***,1.106*** (0.023),1.107*** (0.023),1.106*** (0.023),1.102*** (0.023),1.106*** (0.023),1.106*** (0.023),1.126***,1.106***,1.106*** (0.023),1.108*** (0.023),1.108***
family_rho_F,0.988*** (0.003),0.988*** (0.003),0.988*** (0.003),0.992 (0.011),0.970*** (0.008),0.970*** (0.008),0.970*** (0.008),0.992 (0.011),0.963*** (0.007),0.965*** (0.007),0.966*** (0.007),0.966*** (0.007),0.970*** (0.008),0.970*** (0.008),0.965*** (0.007),0.970*** (0.008),0.970*** (0.008),0.963*** (0.007),0.970*** (0.008),0.966*** (0.007),0.970*** (0.008),0.963*** (0.007),0.965*** (0.007),,,,,,,0.424*** (0.072),,0.427*** (0.073),,0.418*** (0.072),0.424*** (0.072),,0.668* (0.110),,,0.386*** (0.087),,,,,,,,0.847*** (0.042),,0.822*** (0.040),,,,,,,,,,,,,,,,,,,,,,,,,0.494*** (0.103),0.478*** (0.103),,,0.491*** (0.102),0.491*** (0.102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign_FEC_d,0.995*** (0.001),0.995*** (0.001),0.995*** (0.001),0.975 (0.021),0.893*** (0.027),0.892*** (0.027),0.893*** (0.027),0.975 (0.021),,,,,0.893*** (0.028),0.893*** (0.027),,0.893*** (0.027),0.893*** (0.028),,0.893*** (0.028),,0.893*** (0.027),,,,,,,,,0.995*** (0.001),,0.995*** (0.001),,,0.995*** (0.001),,0.997* (0.001),0.993** (0.002),,,,,,,,,1.000** (0.000),1.000* (0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,0.996** (0.002),,,,0.996* (0.002),0.996* (0.002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observations,44295,44295,44295,44715,44715,44295,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,44715,138313,138313,138313,138313,138313,138313,151127,151127,151127,151127,151127,151127,151428,151428,151428,151428,151428,151428,44295,44295,44295,151127,151127,151127,151127,151127,151127,88587,142222,88587,142222,88587,88587,142222,142222,88587,88587,142222,142222,142222,142222,88587,142222,88587,142222,88587,88587,88587,88587,142222,142222,192775,192775,192775,192775,192775,192775,20656,20656,20656,20656,20656,20656,20656,6418,117633,117633,138896,138896,138896,138896,138896,138896,138896,138896,138896,,138896,138896,138896,138896,138896,,138896,138896,138896,,,138896,138896,138896,138896,,138896,138896,138896,138896,,,,138896,138896,138896,138896,,,138896,138896,,,138896,138896,138896,138896,138896,138896,138896,,138896,138896,138896,138896,138896,138896,,,138896,138896,
Subjects,791,791,791,796,796,791,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,1092,1092,1092,1092,1092,1092,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,1101,791,791,791,1101,1101,1101,1101,1101,1101,930,1092,930,1092,930,930,1092,1092,930,930,1092,1092,1092,1092,930,1092,930,1092,930,930,930,930,1092,1092,1101,1101,1101,1101,1101,1101,2418,2418,2418,2418,2418,2418,2418,1856,35731,35731,1092,1092,1092,1092,1092,1092,1092,1092,1092,,1092,1092,1092,1092,1092,,1092,1092,1092,,,1092,1092,1092,1092,,1092,1092,1092,1092,,,,1092,1092,1092,1092,,,1092,1092,,,1092,1092,1092,1092,1092,1092,1092,,1092,1092,1092,1092,1092,1092,,,1092,1092,
Events,472,472,472,473,473,472,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,770,770,770,770,770,770,774,774,774,774,774,774,774,774,774,774,774,774,472,472,472,774,774,774,774,774,774,608,770,608,770,608,608,770,770,608,608,770,770,770,770,608,770,608,770,608,608,608,608,770,770,774,774,774,774,774,774,1117,1117,1117,1117,1117,1117,1117,497,2289,2289,770,770,770,770,770,770,770,770,770,,770,770,770,770,770,,770,770,770,,,770,770,770,770,,770,770,770,770,,,,770,770,770,770,,,770,770,,,770,770,770,770,770,770,770,,770,770,770,770,770,770,,,770,770,
